portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,11131867,BTC-GBP,SELL,2020-11-24T14:22:59.392Z,0.03282723,BTC,14485,0.47550242655,475.02692412345,GBP
default,11131868,BTC-GBP,SELL,2020-11-24T14:23:03.339Z,0.03147477,BTC,14485,0.45591204345,455.45613140655,GBP
default,11132207,BTC-GBP,BUY,2020-11-24T14:38:39.040Z,0.40000000,BTC,14490,5.796,-5801.796,GBP
default,11132784,BTC-GBP,SELL,2020-11-24T15:04:24.945Z,0.06603305,BTC,14590,0.9634221995,962.4587773005,GBP
default,11132785,BTC-GBP,SELL,2020-11-24T15:04:25.196Z,0.00327424,BTC,14590,0.0477711616,47.7233904384,GBP
default,11132787,BTC-GBP,SELL,2020-11-24T15:04:27.902Z,0.00655803,BTC,14590,0.0956816577,95.5859760423,GBP
default,11132788,BTC-GBP,SELL,2020-11-24T15:04:28.040Z,0.00220488,BTC,14590,0.0321691992,32.1370300008,GBP
default,11132792,BTC-GBP,SELL,2020-11-24T15:04:30.460Z,0.01639574,BTC,14590,0.2392138466,238.9746327534,GBP
default,11132793,BTC-GBP,SELL,2020-11-24T15:04:30.607Z,0.00340108,BTC,14590,0.0496217572,49.5721354428,GBP
default,11132796,BTC-GBP,SELL,2020-11-24T15:04:35.389Z,0.06558230,BTC,14590,0.956845757,955.888911243,GBP
default,11132797,BTC-GBP,SELL,2020-11-24T15:04:39.916Z,0.14366891,BTC,14590,2.0961293969,2094.0332675031,GBP
default,11132799,BTC-GBP,SELL,2020-11-24T15:04:44.037Z,0.00105777,BTC,14590,0.0154328643,15.4174314357,GBP
default,11132802,BTC-GBP,SELL,2020-11-24T15:04:50.762Z,0.07869903,BTC,14590,1.1482188477,1147.0706288523,GBP
default,11132803,BTC-GBP,SELL,2020-11-24T15:04:51.704Z,0.01311674,BTC,14590,0.1913732366,191.1818633634,GBP
default,11132804,BTC-GBP,SELL,2020-11-24T15:04:53.113Z,0.00000823,BTC,14590,0.0001200757,0.1199556243,GBP
default,11180217,BTC-GBP,BUY,2020-11-26T08:54:12.860Z,0.77904668,BTC,12300,9.582274164,-9591.856438164,GBP
default,11180230,BTC-GBP,BUY,2020-11-26T08:54:16.664Z,0.02095332,BTC,12300,0.257725836,-257.983561836,GBP
default,11182127,BTC-GBP,BUY,2020-11-26T09:04:31.437Z,0.24785220,BTC,12700,3.14772294,-3150.87066294,GBP
default,11182128,BTC-GBP,BUY,2020-11-26T09:04:32.796Z,0.25088853,BTC,12700,3.186284331,-3189.470615331,GBP
default,11182129,BTC-GBP,BUY,2020-11-26T09:04:32.846Z,0.12125927,BTC,12700,1.539992729,-1541.532721729,GBP
default,11205839,BTC-GBP,SELL,2020-11-26T20:59:44.911Z,0.80000000,BTC,12860,10.288,10277.712,GBP
default,11205840,BTC-GBP,SELL,2020-11-26T20:59:44.964Z,0.82845000,BTC,12860,10.653867,10643.213133,GBP
default,11205841,BTC-GBP,SELL,2020-11-26T20:59:45.005Z,0.07515000,BTC,12860,0.966429,965.462571,GBP
default,11205842,BTC-GBP,SELL,2020-11-26T20:59:45.033Z,0.05000000,BTC,12860,0.643,642.357,GBP
default,11205843,BTC-GBP,SELL,2020-11-26T20:59:45.095Z,0.00000026,BTC,12860,0.0000033436,0.0033402564,GBP
default,11215200,BTC-GBP,BUY,2020-11-27T10:05:48.016Z,0.20000000,BTC,12590,2.518,-2520.518,GBP
default,11215201,BTC-GBP,BUY,2020-11-27T10:05:48.021Z,0.05000000,BTC,12590,0.6295,-630.1295,GBP
default,11215202,BTC-GBP,BUY,2020-11-27T10:05:48.027Z,1.55000000,BTC,12590,19.5145,-19534.0145,GBP
